Iteration #,Avg,Min,Target
4,0.8330785162981702,0.6145075345212857,0.2562772697641193
5,0.8581279756740396,0.6462181551149523,0.29183642709694824
6,0.8390587163090493,0.6550993529175972,0.3181741927294247
11,0.851964681868228,0.6809909858835534,0.35298817743370764
14,0.8629807048136069,0.7048325873888165,0.3862282365479768
42,0.8553997783795382,0.712772585669782,0.4064260269781471
84,0.8521262208727307,0.7340153452685422,0.4493981545355893
86,0.8822617568850115,0.7682519934400271,0.48760355673519457
