Iteration #,Avg,Min,Avg_Min_Mean
0,0.7394645797432724,0.0,0.3697322898716362
42,0.81084543700072,0.0,0.40542271850036
64,0.6630300865724382,0.2967391304347826,0.4798846085036104
66,0.7072298920931219,0.35054347826086957,0.5288866851769958
88,0.7461894169636725,0.38804347826086955,0.567116447612271
94,0.7949956594398382,0.5648535564853556,0.6799246079625969
106,0.7871402229195537,0.5964546402502607,0.6917974315849071
108,0.8019625675210047,0.6288539848749273,0.715408276197966
109,0.8298415629829053,0.6672345258375922,0.7485380444102487
