Iteration #,Avg,Min
0,0.06580327086762137,0.0
1,0.07646953377285826,0.0
2,0.4783327412827571,0.010638297872340425
3,0.6576718295153464,0.2857952934505245
4,0.691351155415091,0.3226973997523574
8,0.8205235419341328,0.5375
10,0.8936774856127421,0.73039357336878
