Iteration #,Avg,Min,Avg_Min_Mean
0,0.2313491424676994,0.0,0.1156745712338497
1,0.240679511145794,0.0,0.120339755572897
3,0.4550870551479257,0.0243161094224924,0.23970158228520905
8,0.5697041805065494,0.0,0.2848520902532747
10,0.5934477920073797,0.0,0.29672389600368987
11,0.5661523539508517,0.10810314765531798,0.3371277508030849
13,0.6445115642136219,0.4567858382506074,0.5506487012321146
17,0.7792281930586278,0.6285289747399703,0.703878583899299
30,0.8601705183931101,0.6889417899450206,0.7745561541690653
35,0.8730744560404394,0.6889417899450206,0.78100812299273
36,0.8699564308333299,0.6968889896299655,0.7834227102316477
37,0.8492322350711818,0.7212912626800426,0.7852617488756122
40,0.866192136667442,0.784070996551919,0.8251315666096806
41,0.8772185584751704,0.7930174563591023,0.8351180074171363
119,0.8663992721852948,0.8045440398381575,0.8354716560117261
