Iteration #,Avg,Min,Target
9,0.03079822838594052,0.004578488372093023,0.03079822838594052
14,0.03274599145055569,0.0,0.03274599145055569
23,0.03402708124859745,0.0,0.03402708124859745
30,0.03809332238548296,0.0,0.03809332238548296
38,0.06748896370838264,0.0,0.06748896370838264
41,0.17648928969673225,0.0,0.17648928969673225
46,0.26906141431422015,0.0,0.26906141431422015
47,0.42316003073102965,0.0,0.42316003073102965
48,0.42505817601329776,0.0,0.42505817601329776
49,0.5290914681517254,0.0,0.5290914681517254
51,0.5954192815421744,0.0,0.5954192815421744
58,0.7205956459827612,0.0,0.7205956459827612
59,0.7396840521194431,0.0,0.7396840521194431
71,0.8239079513035922,0.646538261322228,0.8239079513035922
126,0.8666407603967311,0.6968889896299655,0.8666407603967311
