Iteration #,Avg,Min,Avg_Min_Mean
0,0.10532099728343942,0.0,0.05266049864171971
1,0.5128743210782714,0.0,0.2564371605391357
8,0.6025331607714265,0.32142857142857145,0.461980866099999
35,0.8011658347578441,0.6152263374485597,0.708196086103202
41,0.7867194621220166,0.6673427991886409,0.7270311306553288
49,0.823162065137432,0.6588785046728972,0.7410202849051646
51,0.8246000093278143,0.7106257874842503,0.7676128984060323
53,0.8374224848022929,0.7154471544715447,0.7764348196369188
55,0.8525970288455585,0.7216761510605276,0.7871365899530431
73,0.8625957883659081,0.743801652892562,0.803198720629235
