Iteration #,Avg,Min,Target
3,0.030363751083055668,0.004375,0.017369375541527836
6,0.030854976181353133,0.004591836734693878,0.017723406458023505
13,0.037299465258603004,0.0,0.018649732629301502
23,0.0326180564261216,0.005711805555555556,0.019164930990838578
30,0.10219087117347628,0.0,0.05109543558673814
35,0.10820996104504181,0.0,0.054104980522520905
37,0.4269592070580243,0.0,0.21347960352901216
42,0.5840616177757088,0.13975959049864842,0.36191060413717857
43,0.6894037064643529,0.15284715284715283,0.42112542965575284
45,0.7688185953444411,0.26181818181818184,0.5153183885813115
55,0.8060490075389126,0.30110041996704057,0.5535747137529766
66,0.8007323061037537,0.4581673306772908,0.6294498183905223
70,0.8196236307488354,0.5453506097560976,0.6824871202524665
164,0.8489495694388705,0.7107061503416856,0.779827859890278
